銀瓶の庭,ぎんびんのにわ,地名その他,v3.8 期間限定マップ「ヴェルーリヤ・ミラージュ」の中央エリア

蔓生の渓谷,まんせいのけいこく,地名その他,v3.8 期間限定マップ「ヴェルーリヤ・ミラージュ」の南西に位置する、びゅんびゅん爆速車のレールが多く敷かれているエリア

隠者の遊園,いんじゃのゆうえん,地名その他,v3.8 期間限定マップ「ヴェルーリヤ・ミラージュ」の北東に位置する、遊園地エリア

祈者の劇場,きしゃのげきじょう,地名その他,v3.8 期間限定マップ「ヴェルーリヤ・ミラージュ」の東に位置する、劇場のあるエリア

ヴェルーリヤ・ミラージュ,,地名その他,v3.8 期間限定マップ。日本語と中国語においては、蜃境 (しんきょう) と表現される場合もある。英語の場合は、蜃境に対応する訳はないようであり、Veluriyam Mirage があてられたり、省略されたりしている

泉の境,いずみのさかい,地名その他,モンドの冒険者スタンレーがかつて訪れたという地域

燼寂海,じんじゃくかい,地名その他,モンドの冒険者スタンレーがかつて訪れたという地域

金リンゴ群島,きんりんごぐんとう,地名その他,v1.6 及び v2.8 期間限定マップ

プリン島,ぷりんとう,地名その他,v1.6 及び v2.8 期間限定マップ「金リンゴ群島」南東にある島

ハラハラ島,はらはらとう,地名その他,v1.6 及び v2.8 期間限定マップ「金リンゴ群島」南にある島

フタフタ島,ふたふたとう,地名その他,v1.6 及び v2.8 期間限定マップ「金リンゴ群島」北東にある島

ボロボロ島,ぼろぼろとう,地名その他,v1.6 及び v2.8 期間限定マップ「金リンゴ群島」北西にある島

テイワット,,地名その他,

天空の島,てんくうのしま,地名その他,

