赤喙ペリカン,あかくちばしぺりかん,名詞,原神/生物
フワフワヤギ,ふわふわやぎ,名詞,原神/生物
玉璜ガメ,ぎょくごうがめ,名詞,原神/生物
玉璜古ガメ,ぎょくごうこがめ,名詞,原神/生物
秋羽鴨,しゅううかも,名詞,原神/生物
ヒスイのハートフェザースズキ,ひすいのはーとふぇざーすずき,名詞,原神/生物
玉光虫,ぎょくこうちゅう,名詞,原神/生物
水晶蝶,みずしょうちょう,名詞,原神/生物
弾丸フジツボ,だんがんふじつぼ,名詞,原神/生物
ウーウーブドウ,うーうーぶどう,名詞,原神/生物
アワアワタツノコ・オス,あわあわたつのこ・おす,名詞,原神/生物
チェルビックアプリシア,ちぇるびっくあぷりしあ,名詞,原神/生物
重甲ヤドカニ,じゅうこうやどかに,名詞,原神/生物
堅盾重甲ヤドカニ,けんじゅんじゅうこうやどかに,名詞,原神/生物
狩猟刀エイ,しゅりょうとうえい,名詞,原神/生物
プクプク獣,ぷくぷくじゅう,名詞,原神/生物
マンマルタコ,まんまるたこ,名詞,原神/生物
ボウシクラゲ,ぼうしくらげ,名詞,原神/生物
アンジェリックアプリシア,んじぇりっくあぷりしあ,名詞,原神/生物
スピノクロコ,すぴのくろこ,名詞,原神/生物
赤鷲,,名詞,原神/生物
原海アベラント,げんかいあべらんと,名詞,原神/生物
ノンビリラッコ,,名詞,原神/生物
亜種生物,あしゅせいぶつ,名詞,原神/生物
ガードドッグ,がーどどっぐ,名詞,原神/生物
ジェントルドッグ,じぇんとるどっぐ,名詞,原神/生物
レディドッグ,れでぃどっぐ,名詞,原神/生物
赤カンムリガラ,あかかんむりがら,名詞,原神/生物
カサガラ,かさがら,名詞,原神/生物
マゼンタクジャクバト,まぜんたくじゃくばと,名詞,原神/生物
紫金オオズグロカモメ,しきんおおずぐろかもめ,名詞,原神/生物
メリュジーヌ,めりゅじーぬ,名詞,原神/生物
純水精霊,じゅんすいせいれい,名詞,原神/生物
シズクちゃん,しずくちゃん,名詞,原神/生物
水形幻霊,,名詞,原神/生物
キノシシ,きのしし,名詞,原神/生物
駄獣,だじゅう,名詞,原神/生物
モジャモジャ駄獣,もじゃもじゃだじゅう,名詞,原神/生物
リシュボラン虎のラージャ,,名詞,原神/生物
テントガメ,てんとがめ,名詞,原神/生物
霊芯,れいしん,名詞,原神/生物
谷木の残霊,,名詞,原神/生物
霊光カゲロウ,れいこうかげろう,名詞,原神/生物
甘露カゲロウ,かんろかげろう,名詞,原神/生物
霊光,れいこう,名詞,原神/生物
霊光百種,れいこうひゃくしゅ,名詞,原神/生物
元素生命,げんそせいめい,名詞,原神/生物
風の悪霊,かぜのあくりょう,名詞,原神/生物
花霊,かれい,名詞,原神/生物
オニカブトムシ,,名詞,原神/生物
聖金虫,,名詞,原神/生物
ジンニー,じんにー,名詞,原神/生物
トビヘビ,とびへび,名詞,原神/生物
流砂ウナギ,,名詞,原神/生物
ラクラク駄獣,らくらくだじゅう,名詞,原神/生物
サソリ,さそり,名詞,原神/生物
ゲーターキング,げーたーきんぐ,名詞,原神/生物
駄獣大王,,名詞,原神/生物
草晶蝶,くさしょうちょう,名詞,原神/生物
アランナラ,あらんなら,名詞,原神/生物
瞑彩鳥,,名詞,原神/生物
リシュボラン虎,りしゅぼらんとら,名詞,原神/生物
仙霊,せんれい,名詞,原神/生物
温暖仙霊,おんだんせんれい,名詞,原神/生物
雷霊,らいれい,名詞,原神/生物
光彩仙霊,,名詞,原神/生物
晶蝶,しょうちょう,名詞,原神/生物
風晶蝶,かぜしょうちょう,名詞,原神/生物
岩晶蝶,いわしょうちょう,名詞,原神/生物
氷晶蝶,こおりしょうちょう,名詞,原神/生物
雷晶蝶,かみなりしょうちょう,名詞,原神/生物
イノシシ,いのしし,名詞,原神/生物
雪のイノシシ,ゆきのいのしし,名詞,原神/生物
雪のイノシシ王,ゆきのいのししおう,名詞,原神/生物
宝盗イタチ,ほうとういたち,名詞,原神/生物
宝盗イタチ・新米,ほうとういたち・しんまい,名詞,原神/生物
宝盗イタチ・中堅,ほうとういたち・ちゅうけん,名詞,原神/生物
宝盗イタチ・黄金,ほうとういたち・おうごん,名詞,原神/生物
青雷イタチ,,名詞,原神/生物
吉光虫,,名詞,原神/生物
妖狸,ばけだぬき,名詞,原神/生物
冥魚,めいぎょ,名詞,原神/生物
